;company--title;skill
0;AVENGA--Technical Writer;['SAP', 'BPMN', 'English', 'Polish']
1;ArchiDoc S.A.--Pracownik kancelarii banku;['MS Office', 'Polish']
2;Avenga--Release Manager;['ITIL', 'MS Office', 'Jira', 'Confluence', 'English (B2)', 'Polish (B2)']
3;Avenga--Senior Data Engineer;['Spark', 'English (C1)', 'Polish (C1)']
4;DRADURA Polska Sp. z o.o.--Automatyk w Dziale Utrzymania Ruchu;['PLC', 'SEP', 'Polish']
5;ELEKTROBUDOWA Sp. z o.o.--Elektronik - Mechatronik / Brygadzista;['SMD', 'THT', 'SMT', 'Polish']
6;EPAM--Senior DevOps Engineer;['DevOps', 'Amazon Web Services', 'AWS CDK', 'Python', 'AWS Lambda', 'Linux', 'AWS', 'Cloud development', 'TypeScript', 'JavaScript', 'Java', 'AWS Cloud', 'Infrastructure as Code', 'AWS EC', 'Unit testing', 'English (B2)']
7;Enxoo--Quality Assurance Engineer;['Team player', 'Communication skills', 'Critical thinking', 'Problem solving', 'Salesforce', '1+ experience', 'Preparing test cases', 'Preparing project documentation', 'Reporting errors', 'English']
8;Ework Group--Project Manager;['PMI', 'Project management', 'English (C1)', 'Polish (C1)']
9;Find Group--Sales Specialist - branża HR/IT;['English (B2)', 'Polish (C1)']
10;Grafton Recruitment--Operations Specialist;['Degree', 'Accounting', 'Audit', 'Excel', 'English (B2)', 'Polish (B2)']
11;Grupa Maciaszczyk--Specjalista ds. sprzedaży / Handlowiec;['Polish']
12;HRO Digital--Samodzielna Księgowa;['English (B2)']
13;Human4Human Recruitment--Agent Ubezpieczeniowy;['English']
14;Innowise Group--Accountant;['Polish (B1)', 'English (B2)']
15;KRYPTON Polska--Młodszy Tester Manualny Urządzeń;['Polish']
16;Keepit--C++ Developer;['C++', 'Linux', 'Multithreading', 'STL', 'TCP', 'HTTP', 'REST API', 'XML', 'SQL', 'English (B2)']
17;Kyotu Technology--Senior Java Software Engineer;['Java', 'Docker', 'Spring', 'PostgreSQL', 'JUnit', 'Maven', 'Git', 'Microservices', 'SQL', 'NoSQL', 'Linux', 'Hibernate', 'REST', 'English (B2)', 'Polish']
18;Lagarta Sp. z o.o.--Młodszy Specjalista ds. obsługi klienta B2B;['CRM', 'Driving license']
19;Link Group--Remote Lead QA Data Engineer;['Data science', 'Data engineering', 'Quality assurance', 'QA', 'Python', 'English (C1)']
20;Medpace--Junior Fullstack .NET Developer;['C#', 'SQL', '.NET', 'Degree', 'GraphQL', 'English']
21;Mindpal--Junior Scrum Master;['Linux', 'English (B2)']
22;Orange Polska--Cybersecurity Expert;['Public Cloud Security', 'PAM', 'Secret Management Systems', 'English', 'Polish']
23;POLDENT Sp. z o.o.--Junior Social Media Specialist;['Polish (C2)', 'English (C1)']
24;Pentacomp Systemy Informatyczne S.A.--Business Development Manager (Outsourcing IT);['sale']
25;Profitowi S.A--Doradca Klienta ds. produktów finansowych;['Polish']
26;Remitly--Senior Software Engineer;['Golang', 'RDBMS', 'Polish', 'English (B2)']
27;Simon - Kucher Core Business Services--Remote IT Security Expert;['Security', 'ISMS', 'ISO', 'CISSP', 'CISM', 'CISA', 'English (C1)']
28;Sollers Consulting--Java Developer with French/German;['Java', 'OOP', 'Design Patterns', 'Clean Code', 'German (B1)', 'French (B1)', 'English (B1)']
29;pTAG--Analityk biznesowo-systemowy;['UML', 'BPMN', 'Jira', 'Confluence', 'Excel', 'Business analysis', 'System analysis', 'Enterprise Architect', 'Polish']
